transaction_id,date,customer_id,product_category,amount,status,payment_method,region
T443,2024-07-14,C018,Food,44.80,Completed,Cash,East
T444,2024-07-19,C031,Services,1890.25,Pending,Wire,West
T445,2024-07-24,C006,Other,234.50,Completed,Credit,Central
T446,2024-07-29,C026,Electronics,2156.75,Completed,Debit,North
T447,2024-08-03,C049,Clothing,98.25,Failed,Credit,South
T448,2024-08-08,C010,Food,58.70,Completed,Cash,East
T449,2024-08-13,C035,Services,3120.50,Completed,Wire,West
T450,2024-08-18,C001,Other,189.75,Refunded,Credit,Central
T451,2024-08-23,C020,Electronics,1789.25,Completed,Debit,North
T452,2024-08-28,C042,Clothing,124.50,Completed,Credit,South
T453,2024-09-02,C030,Food,46.60,Completed,Cash,East
T454,2024-09-07,C003,Services,1560.75,Pending,Wire,West
T455,2024-09-12,C040,Other,278.25,Completed,Credit,Central
T456,2024-09-17,C016,Electronics,2234.50,Completed,Debit,North
T457,2024-09-22,C028,Clothing,89.75,Failed,Credit,South
T458,2024-09-27,C045,Food,54.90,Completed,Cash,East
T459,2024-10-02,C012,Services,2890.25,Completed,Wire,West
T460,2024-10-07,C033,Other,167.50,Refunded,Credit,Central
T461,2024-10-12,C008,Electronics,1456.75,Completed,Debit,North
T462,2024-10-17,C025,Clothing,132.25,Completed,Credit,South
T463,2024-10-22,C047,Food,43.70,Completed,Cash,East
T464,2024-10-27,C014,Services,1890.50,Pending,Wire,West
T465,2024-10-30,C038,Other,245.99,Completed,Credit,Central
T466,2024-01-11,C002,Electronics,-256.25,Completed,Debit,North
T467,2024-01-27,C029,Clothing,97.50,Failed,Credit,South
T468,2024-02-04,C041,Food,56.80,Completed,Cash,East
T469,2024-02-17,C017,Services,2150.75,Completed,Wire,West
T470,2024-02-29,C050,Other,-189.25,Refunded,Credit,Central
T471,2024-03-08,C011,Electronics,1789.50,Completed,Debit,North
T472,2024-03-18,C032,Clothing,145.75,Completed,Credit,South
T473,2024-03-28,C005,Food,48.60,Completed,Cash,East
T474,2024-04-06,C024,Services,1670.25,Pending,Wire,West
T475,2024-04-16,C039,Other,267.50,Completed,Credit,Central
T476,2024-04-26,C013,Electronics,2345.75,Completed,Debit,North
T477,2024-05-06,C046,Clothing,87.25,Failed,Credit,South
T478,2024-05-16,C021,Food,61.40,Completed,Cash,East
T479,2024-05-26,C034,Services,2780.50,Completed,Wire,West
T480,2024-06-05,C009,Other,178.99,Refunded,Credit,Central
T481,2024-06-15,C027,Electronics,1567.25,Completed,Debit,North
T482,2024-06-25,C048,Clothing,134.50,Completed,Credit,South
T483,2024-07-05,C015,Food,44.90,Completed,Cash,East
T484,2024-07-15,C037,Services,1890.75,Pending,Wire,West
T485,2024-07-25,C004,Other,234.25,Completed,Credit,Central
T486,2024-08-04,C022,Electronics,2156.50,Completed,Debit,North
T487,2024-08-14,C044,Clothing,98.75,Failed,Credit,South
T488,2024-08-24,C018,Food,58.80,Completed,Cash,East
T489,2024-09-03,C031,Services,3120.25,Completed,Wire,West
T490,2024-09-13,C006,Other,189.50,Refunded,Credit,Central
T491,2024-09-23,C026,Electronics,1789.99,Completed,Debit,North
T492,2024-10-03,C049,Clothing,124.25,Completed,Credit,South
T493,2024-10-13,C010,Food,46.70,Completed,Cash,East
T494,2024-10-23,C035,Services,-1560.50,Pending,Wire,West
T495,2024-10-29,C001,Other,278.75,Completed,Credit,Central
T496,2024-01-08,C020,Electronics,2234.25,Completed,Debit,North
T497,2024-13-45,C042,Clothing,89.50,Failed,Credit,South
T498,2024-02-14,C030,Food,54.60,Completed,Cash,East
T499,2024-03-07,C003,Services,2890.75,Completed,Wire,West
T101,2024-04-11,C040,Electronics,1567.50,Completed,Debit,North
T205,2024-05-18,C016,Other,-234.75,Completed,Credit,Central
T367,2024-06-22,C028,Clothing,132.99,Failed,Credit,South
T500,2024-07-01,C045,Food,,Completed,Cash,East
